Test unit,RS4,
Reference,Rezaie et al. (2020),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-7.7463,-29.85,-0.48415
-7.521,-43.89,-0.47006
-7.5169,-43.92,-0.4698
-7.4966,-47.02,-0.46854
-7.2909,-47.54,-0.45568
-6.9888,-47.39,-0.4368
-6.6996,-47.21,-0.41872
-6.4058,-47.02,-0.40036
-6.1119,-46.69,-0.38199
-6.1047,-49.3,-0.38155
-6.084,-52.52,-0.38025
-5.8398,-52.69,-0.36499
-5.5946,-52.55,-0.34966
-5.3487,-52.36,-0.3343
-5.1098,-52.13,-0.31936
-4.8578,-51.79,-0.30361
-4.6177,-51.38,-0.28861
-4.545,-49.6,-0.28406
-4.5383,-49.77,-0.28365
-4.468,-52.9,-0.27925
-4.4639,-54.39,-0.279
-4.3268,-55.02,-0.27043
-4.1352,-54.76,-0.25845
-3.9445,-54.45,-0.24653
-3.7545,-54.04,-0.23465
-3.661,-52.34,-0.22881
-3.6581,-52.25,-0.22863
-3.6088,-55.16,-0.22555
-3.561,-52.69,-0.22256
-3.5312,-56.35,-0.2207
-3.4426,-56.58,-0.21516
-3.3128,-56.23,-0.20705
-3.1686,-55.82,-0.19804
-3.0248,-55.32,-0.18905
-2.8878,-54.73,-0.18049
-2.7755,-51.89,-0.17347
-2.7558,-52.19,-0.17224
-2.7551,-52.34,-0.17219
-2.7378,-54.53,-0.17111
-2.6905,-55.34,-0.16816
-2.6016,-54.9,-0.1626
-2.5085,-54.38,-0.15678
-2.4178,-53.81,-0.15111
-2.3312,-53.19,-0.1457
-2.2382,-52.55,-0.13989
-2.1536,-51.79,-0.1346
-2.0645,-51,-0.12903
-2.0258,-47.54,-0.12661
-2.0165,-47.22,-0.12603
-1.9954,-49.85,-0.12471
-1.9094,-49.22,-0.11934
-1.8206,-48.45,-0.11379
-1.7387,-47.62,-0.10867
-1.6512,-46.79,-0.1032
-1.5545,-45.85,-0.097157
-1.4796,-44.85,-0.092472
-1.3925,-43.8,-0.087034
-1.3119,-42.67,-0.081995
-1.2978,-37.71,-0.081114
-1.2894,-39.78,-0.080587
-1.2462,-39.54,-0.077886
-1.207,-39,-0.07544
-1.1791,-38.43,-0.073692
-1.1434,-37.86,-0.071466
-1.0988,-37.28,-0.068677
-1.0503,-36.68,-0.065644
-1.0165,-36.1,-0.06353
-0.97483,-35.49,-0.060927
-0.93724,-34.88,-0.058578
-0.89426,-34.25,-0.055891
-0.8666,-33.57,-0.054162
-0.83114,-32.92,-0.051947
-0.78889,-32.21,-0.049306
-0.7518,-31.51,-0.046988
-0.72143,-30.78,-0.04509
-0.67811,-30.05,-0.042382
-0.6407,-29.28,-0.040044
-0.63188,-23.87,-0.039492
-0.6161,-25.35,-0.038507
-0.58275,-24.57,-0.036422
-0.54027,-23.79,-0.033767
-0.50537,-22.99,-0.031586
-0.47293,-22.17,-0.029558
-0.43591,-21.33,-0.027244
-0.40625,-20.47,-0.025391
-0.36997,-19.57,-0.023123
-0.3373,-13.65,-0.021081
-0.31814,-15.28,-0.019884
-0.30464,-15.49,-0.01904
-0.26957,-14.62,-0.016848
-0.23093,-13.76,-0.014433
-0.20227,-12.88,-0.012642
-0.17062,-12.04,-0.010664
-0.13092,-11.19,-0.0081824
-0.1042,-10.36,-0.0065128
-0.07358,-9.532,-0.0045987
-0.040277,-8.681,-0.0025173
-0.0061719,-7.814,-0.00038574
0,0,0
0.027193,1.563,0.0016995
0.051177,2.868,0.0031986
0.069144,3.968,0.0043215
0.099494,4.966,0.0062184
0.13814,5.867,0.0086341
0.1684,6.678,0.010525
0.18689,7.468,0.01168
0.223,8.207,0.013938
0.22312,7.918,0.013945
0.22502,7.756,0.014064
0.22583,7.656,0.014114
0.22697,7.584,0.014186
0.23032,7.528,0.014395
0.25932,8.831,0.016207
0.28979,9.676,0.018112
0.32272,10.45,0.02017
0.35458,11.19,0.022161
0.38711,11.92,0.024194
0.42474,12.62,0.026547
0.4365,11.13,0.027281
0.44477,13.27,0.027798
0.44821,14.85,0.028013
0.48714,15.66,0.030446
0.51653,16.43,0.032283
0.5449,17.14,0.034056
0.58514,17.8,0.036571
0.61734,18.43,0.038584
0.65593,19.04,0.040996
0.69182,19.65,0.043239
0.73291,20.23,0.045807
0.76801,20.8,0.048
0.78768,20.99,0.04923
0.79242,19.98,0.049526
0.79722,19.41,0.049826
0.80328,21.83,0.050205
0.81268,20.85,0.050793
0.81936,22.12,0.05121
0.85324,22.84,0.053328
0.88665,23.5,0.055416
0.91749,24.15,0.057343
0.95298,24.78,0.059561
0.9898,25.42,0.061862
1.0291,26,0.064317
1.0667,26.59,0.066666
1.0989,27.14,0.06868
1.1413,27.66,0.071332
1.1746,28.19,0.073414
1.2189,28.72,0.076179
1.2539,29.26,0.078367
1.293,29.79,0.080814
1.3274,30.34,0.082964
1.3646,30.87,0.085287
1.4058,31.39,0.087862
1.4352,31.93,0.089703
1.4747,32.44,0.092171
1.5153,32.93,0.094706
1.5304,33.01,0.095649
1.5455,31.76,0.096594
1.5487,31.83,0.096791
1.5606,35.85,0.097535
1.6273,37.09,0.1017
1.7016,38.29,0.10635
1.776,39.42,0.111
1.8499,40.49,0.11562
1.9275,41.52,0.12047
2.0068,42.45,0.12543
2.0928,43.37,0.1308
2.1684,44.25,0.13552
2.2432,45.09,0.1402
2.277,42.5,0.14231
2.2795,46.33,0.14247
2.3067,44.73,0.14417
2.38,48.72,0.14875
2.4632,49.56,0.15395
2.5425,50.33,0.15891
2.6237,51.05,0.16398
2.7024,51.71,0.1689
2.7903,52.35,0.17439
2.8749,52.92,0.17968
2.962,53.47,0.18512
3.0215,53.74,0.18884
3.0439,51.15,0.19024
3.0669,52.1,0.19168
3.0729,52.07,0.19206
3.1218,55.3,0.19511
3.244,56.04,0.20275
3.3739,56.55,0.21087
3.5079,57.05,0.21925
3.6324,57.48,0.22703
3.7685,57.8,0.23553
3.8748,55.09,0.24217
3.9148,56,0.24467
3.9486,52.71,0.24679
4.0933,54.31,0.25583
4.2798,54.68,0.26749
4.4609,54.98,0.27881
4.6423,55.25,0.29014
4.6995,54.06,0.29372
4.7296,52.1,0.2956
4.9281,49.99,0.30801
5.1614,50.43,0.32259
5.3989,50.62,0.33743
5.6355,50.82,0.35222
5.8696,50.84,0.36685
6.1155,50.86,0.38222
6.2796,50.15,0.39248
6.3324,47.15,0.39577
6.4314,46.41,0.40196
6.4706,42.99,0.40441
6.5712,42.76,0.4107
6.8721,42.79,0.42951
7.1719,42.9,0.44825
7.475,43.01,0.46718
7.7752,42.86,0.48595
8.0844,42.82,0.50527
8.2348,41.9,0.51467
8.2786,39.23,0.51741
8.4556,37.45,0.52848
8.6189,36.77,0.53868
8.6614,33.82,0.54134
8.7981,33.12,0.54988
9.1579,33.25,0.57237
9.5245,33.35,0.59528
9.8857,33.31,0.61786
10.25,33.37,0.64062
10.619,33.4,0.66371
10.986,33.35,0.68663
11.039,30.47,0.68994
11.041,30.32,0.69006
11.219,23.21,0.70116
11.5,18.8,0.71876
11.807,20.06,0.73792
12.077,20.62,0.7548
12.151,17.16,0.75943
