Test unit,SC2,
Reference,Godio et al. (2019),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
Displacement,Force,Drift
-21.936874,-50.700000,-2.437430
-21.928007,-53.900000,-2.436445
-21.922574,-53.900000,-2.435842
-21.921174,-53.900000,-2.435686
-21.921074,-53.900000,-2.435675
-21.918240,-53.900000,-2.435360
-21.925674,-53.900000,-2.436186
-21.460040,-53.900000,-2.384449
-20.928274,-53.340000,-2.325364
-20.464907,-52.700000,-2.273879
-20.292307,-55.480000,-2.254701
-19.774107,-55.520000,-2.197123
-19.221540,-53.710000,-2.135727
-18.681774,-54.240000,-2.075753
-18.568107,-27.920000,-2.063123
-18.566407,-31.480000,-2.062934
-18.137140,-31.480000,-2.015238
-17.615474,-31.740000,-1.957275
-17.061740,-31.480000,-1.895749
-16.520907,-31.310000,-1.835656
-15.992940,-33.760000,-1.776993
-15.444874,-34.620000,-1.716097
-14.903907,-35.430000,-1.655990
-14.360174,-36.170000,-1.595575
-13.852174,-36.850000,-1.539130
-13.268840,-37.680000,-1.474316
-12.718374,-38.290000,-1.413153
-12.475574,-59.640000,-1.386175
-11.458307,-59.640000,-1.273145
-10.879774,-58.840000,-1.208864
-10.782574,-65.600000,-1.198064
-10.187410,-66.620000,-1.131934
-9.626147,-67.200000,-1.069572
-9.391530,-77.320000,-1.043503
-1.102597,-85.700000,-0.122511
-1.119145,-88.500000,-0.124349
-1.121389,-89.110000,-0.124599
-1.124799,-89.160000,-0.124978
-1.122677,-89.180000,-0.124742
-1.121245,-89.220000,-0.124583
-1.119110,-89.240000,-0.124346
-1.121526,-89.270000,-0.124614
-1.115828,-89.280000,-0.123981
-1.067850,-83.520000,-0.118650
-1.066887,-83.540000,-0.118543
-1.066750,-83.560000,-0.118528
-1.022846,-83.830000,-0.113650
-0.977024,-83.810000,-0.108558
-0.978267,-83.800000,-0.108696
-0.972703,-83.780000,-0.108078
-0.976652,-83.790000,-0.108517
-0.973060,-83.770000,-0.108118
-0.973680,-83.790000,-0.108187
-0.974769,-83.810000,-0.108308
-0.971580,-83.830000,-0.107953
-0.970953,-83.860000,-0.107884
-0.966549,-83.810000,-0.107394
-0.967644,-83.810000,-0.107516
-0.966952,-83.800000,-0.107439
-0.967135,-83.790000,-0.107459
-0.966359,-83.820000,-0.107373
-0.964798,-83.890000,-0.107200
-0.965886,-83.890000,-0.107321
-0.961193,-83.810000,-0.106799
-0.960046,-83.850000,-0.106672
-0.957542,-83.880000,-0.106394
-0.962110,-83.920000,-0.106901
-0.955237,-83.970000,-0.106137
-0.956042,-83.880000,-0.106227
-0.955122,-83.930000,-0.106125
-0.951441,-83.890000,-0.105716
-0.953152,-83.910000,-0.105906
-0.952978,-83.880000,-0.105886
-0.949673,-83.890000,-0.105519
-0.950418,-83.920000,-0.105602
-0.956098,-83.970000,-0.106233
-0.942975,-84.030000,-0.104775
-0.945827,-84.000000,-0.105092
-0.944355,-83.990000,-0.104928
-0.941818,-84.050000,-0.104646
-0.942958,-84.100000,-0.104773
-0.945827,-84.100000,-0.105092
-0.939010,-84.090000,-0.104334
-0.939178,-84.100000,-0.104353
-0.934078,-84.100000,-0.103786
-0.931191,-84.140000,-0.103466
-0.928260,-84.210000,-0.103140
-0.923693,-84.200000,-0.102633
-0.925556,-84.220000,-0.102840
-0.920833,-84.280000,-0.102315
-0.920902,-84.320000,-0.102322
-0.917554,-84.330000,-0.101950
-0.914203,-84.360000,-0.101578
-0.911035,-84.370000,-0.101226
-0.902144,-84.360000,-0.100238
-0.902076,-84.480000,-0.100231
-0.900934,-84.470000,-0.100104
-0.894822,-84.480000,-0.099425
-0.888021,-84.550000,-0.098669
-0.880576,-84.550000,-0.097842
-0.873508,-84.560000,-0.097056
-0.859670,-84.490000,-0.095519
-0.850849,-84.350000,-0.094539
-0.844202,-84.160000,-0.093800
-0.823279,-83.890000,-0.091475
-0.810026,-83.650000,-0.090003
-0.787157,-83.160000,-0.087462
-0.769630,-82.580000,-0.085514
-0.745145,-81.970000,-0.082794
-0.730621,-81.010000,-0.081180
-0.727898,-71.970000,-0.080878
-0.676739,-77.560000,-0.075193
-0.653104,-77.400000,-0.072567
-0.622995,-76.570000,-0.069222
-0.587241,-75.490000,-0.065249
-0.551079,-74.630000,-0.061231
-0.511285,-73.550000,-0.056809
-0.482567,-72.620000,-0.053619
-0.445041,-71.450000,-0.049449
-0.411778,-70.450000,-0.045753
-0.380101,-69.330000,-0.042233
-0.342024,-68.080000,-0.038003
-0.304938,-66.810000,-0.033882
-0.277054,-65.650000,-0.030784
