Test unit,CS00
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-50.73,-45,-2.029
-50.63,-45.5,-2.025
-50.46,-45.7,-2.018
-50.25,-45.7,-2.01
-50.04,-45.6,-2.002
-49.84,-45.7,-1.993
-49.63,-45.6,-1.985
-49.42,-45.7,-1.977
-49.22,-45.7,-1.969
-49.01,-45.7,-1.96
-48.81,-45.7,-1.952
-48.6,-45.8,-1.944
-48.4,-45.8,-1.936
-48.19,-45.8,-1.928
-47.98,-45.8,-1.919
-47.78,-45.8,-1.911
-47.57,-45.8,-1.903
-47.37,-45.8,-1.895
-47.17,-45.8,-1.887
-46.96,-45.8,-1.879
-46.76,-45.8,-1.87
-46.56,-45.8,-1.862
-46.36,-45.8,-1.854
-46.15,-45.8,-1.846
-45.95,-45.9,-1.838
-45.75,-45.8,-1.83
-45.55,-45.9,-1.822
-45.34,-45.9,-1.814
-45.14,-45.9,-1.806
-44.93,-45.9,-1.797
-44.73,-45.9,-1.789
-44.52,-45.9,-1.781
-44.43,-45,-1.777
-44.4,-45.4,-1.776
-44.28,-45.8,-1.771
-44.11,-46,-1.764
-43.93,-46,-1.757
-43.75,-46.1,-1.75
-43.56,-46.1,-1.743
-43.38,-46.1,-1.735
-43.2,-46.1,-1.728
-43.02,-46.1,-1.721
-42.84,-46.1,-1.714
-42.66,-46.1,-1.706
-42.48,-46.1,-1.699
-42.3,-46.2,-1.692
-42.12,-46.2,-1.685
-41.94,-46.2,-1.678
-41.76,-46.2,-1.67
-41.57,-46.2,-1.663
-41.39,-46.2,-1.656
-41.21,-46.2,-1.648
-41.03,-46.2,-1.641
-40.85,-46.2,-1.634
-40.67,-46.2,-1.627
-40.49,-46.2,-1.62
-40.31,-46.2,-1.612
-40.13,-46.2,-1.605
-39.95,-46.2,-1.598
-39.77,-46.2,-1.591
-39.59,-46.2,-1.584
-39.41,-46.2,-1.577
-39.24,-46.1,-1.569
-39.06,-46.2,-1.562
-38.89,-46.1,-1.555
-38.71,-46.1,-1.548
-38.53,-46.1,-1.541
-38.35,-46.1,-1.534
-38.17,-46.1,-1.527
-38.07,-45.7,-1.523
-37.99,-46.1,-1.519
-37.85,-46.4,-1.514
-37.7,-46.4,-1.508
-37.55,-46.4,-1.502
-37.4,-46.4,-1.496
-37.25,-46.4,-1.49
-37.1,-46.4,-1.484
-36.95,-46.4,-1.478
-36.79,-46.4,-1.472
-36.64,-46.4,-1.466
-36.49,-46.4,-1.46
-36.33,-46.4,-1.453
-36.18,-46.5,-1.447
-36.03,-46.5,-1.441
-35.88,-46.5,-1.435
-35.73,-46.5,-1.429
-35.57,-46.5,-1.423
-35.42,-46.5,-1.417
-35.27,-46.5,-1.411
-35.11,-46.5,-1.404
-34.95,-46.5,-1.398
-34.8,-46.6,-1.392
-34.64,-46.5,-1.386
-34.49,-46.6,-1.379
-34.33,-46.6,-1.373
-34.18,-46.6,-1.367
-34.02,-46.6,-1.361
-33.87,-46.6,-1.355
-33.71,-46.6,-1.348
-33.55,-46.6,-1.342
-33.4,-46.6,-1.336
-33.25,-46.6,-1.33
-33.1,-46.6,-1.324
-32.94,-46.6,-1.318
-32.79,-46.6,-1.312
-32.64,-46.6,-1.306
-32.49,-46.6,-1.299
-32.34,-46.6,-1.294
-32.18,-46.6,-1.287
-32.03,-46.6,-1.281
-31.88,-46.6,-1.275
-31.74,-46.3,-1.27
-31.67,-46.7,-1.267
-31.55,-47,-1.262
-31.42,-47,-1.257
-31.29,-47,-1.252
-31.17,-47,-1.247
-31.04,-47,-1.242
-30.91,-47,-1.236
-30.79,-47.1,-1.231
-30.66,-47,-1.226
-30.53,-47.1,-1.221
-30.4,-47.1,-1.216
-30.28,-47.1,-1.211
-30.15,-47,-1.206
-30.03,-47,-1.201
-29.9,-47,-1.196
-29.77,-47.1,-1.191
-29.65,-47.1,-1.186
-29.52,-47.1,-1.181
-29.4,-47.1,-1.176
-29.27,-47.2,-1.171
-29.14,-47.2,-1.166
-29.01,-47.1,-1.161
-28.89,-47.2,-1.155
-28.76,-47.1,-1.15
-28.63,-47.1,-1.145
-28.51,-47.1,-1.14
-28.37,-47.1,-1.135
-28.24,-47.1,-1.13
-28.12,-47.1,-1.125
-27.98,-47.1,-1.119
-27.85,-47.1,-1.114
-27.73,-47.1,-1.109
