Test unit;C2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0545613750000000;-50.5837;-4.36491
-0.0544363750000000;-50.5844;-4.35491
-0.0543113750000000;-50.585;-4.34491
-0.0541863750000000;-50.5856;-4.33491
-0.0540613750000000;-50.5863;-4.32491
-0.0539363750000000;-50.5869;-4.31491
-0.0538113750000000;-50.5875;-4.30491
-0.0536863750000000;-50.5882;-4.29491
-0.0535613750000000;-50.5888;-4.28491
-0.0534363750000000;-50.5895;-4.27491
-0.0533113750000000;-50.5901;-4.26491
-0.0531863750000000;-50.6188;-4.25491
-0.0530613750000000;-50.7738;-4.24491
-0.0529363750000000;-50.9287;-4.23491
-0.0528113750000000;-51.0837;-4.22491
-0.0526863750000000;-51.1045;-4.21491
-0.0525613750000000;-51.1051;-4.20491
-0.0524363750000000;-51.1058;-4.19491
-0.0523113750000000;-51.1064;-4.18491
-0.0521863750000000;-51.107;-4.17491
-0.0520613750000000;-51.1077;-4.16491
-0.0519363750000000;-51.1083;-4.15491
-0.0518113750000000;-51.109;-4.14491
-0.0516863750000000;-51.1096;-4.13491
-0.0515613750000000;-51.1102;-4.12491
-0.0514363750000000;-51.1109;-4.11491
-0.0513113750000000;-51.1115;-4.10491
-0.0511863750000000;-51.1121;-4.09491
-0.0510613750000000;-51.2083;-4.08491
-0.0509363750000000;-51.3632;-4.07491
-0.0508113750000000;-51.5182;-4.06491
-0.0506863750000000;-51.6259;-4.05491
-0.0505613750000000;-51.6265;-4.04491
-0.0504363750000000;-51.6272;-4.03491
-0.0503113750000000;-51.6278;-4.02491
-0.0501863750000000;-51.6284;-4.01491
-0.0500613750000000;-51.6291;-4.00491
-0.0499363750000000;-51.6297;-3.99491
-0.0498113750000000;-51.6304;-3.98491
-0.0496863750000000;-51.631;-3.97491
-0.0495613750000000;-51.6316;-3.96491
-0.0494363750000000;-51.6891;-3.95491
-0.0493113750000000;-51.844;-3.94491
-0.0491863750000000;-51.999;-3.93491
-0.0490613750000000;-52.1454;-3.92491
-0.0489363750000000;-52.146;-3.91491
-0.0488113750000000;-52.1467;-3.90491
-0.0486863750000000;-52.1473;-3.89491
-0.0485613750000000;-52.2626;-3.88491
-0.0484363750000000;-52.4175;-3.87491
-0.0483113750000000;-52.5725;-3.86491
-0.0481863750000000;-52.661;-3.85491
-0.0480613750000000;-52.6617;-3.84491
-0.0479363750000000;-52.6623;-3.83491
-0.0478113750000000;-52.6629;-3.82491
-0.0476863750000000;-52.6636;-3.81491
-0.0475613750000000;-52.6642;-3.80491
-0.0474363750000000;-52.6649;-3.79491
-0.0473113750000000;-52.6655;-3.78491
-0.0471863750000000;-52.6661;-3.77491
-0.0470613750000000;-52.6668;-3.76491
-0.0469363750000000;-52.7434;-3.75491
-0.0468113750000000;-52.8984;-3.74491
-0.0466863750000000;-53.0533;-3.73491
-0.0465613750000000;-53.1805;-3.72491
-0.0464363750000000;-53.1812;-3.71491
-0.0463113750000000;-53.1818;-3.70491
-0.0461863750000000;-53.1824;-3.69491
-0.0460613750000000;-53.3169;-3.68491
-0.0459363750000000;-53.4718;-3.67491
-0.0458113750000000;-53.6268;-3.66491
-0.0456863750000000;-53.6962;-3.65491
-0.0455613750000000;-53.6968;-3.64491
-0.0454363750000000;-53.6974;-3.63491
-0.0453113750000000;-53.7354;-3.62491
-0.0451863750000000;-53.8904;-3.61491
-0.0450613750000000;-54.0453;-3.60491
-0.0449363750000000;-54.2003;-3.59491
-0.0448113750000000;-54.2118;-3.58491
-0.0446863750000000;-54.2125;-3.57491
-0.0445613750000000;-54.2131;-3.56491
-0.0444363750000000;-54.2137;-3.55491
-0.0443113750000000;-54.2144;-3.54491
-0.0441863750000000;-54.215;-3.53491
-0.0440613750000000;-54.1687;-3.52491
-0.0439363750000000;-54.0151;-3.51491
-0.0438113750000000;-53.8614;-3.50491
-0.0436863750000000;-53.7077;-3.49491
-0.0435613750000000;-53.707;-3.48491
-0.0434363750000000;-53.7077;-3.47491
-0.0433113750000000;-53.7083;-3.46491
-0.0431863750000000;-53.709;-3.45491
-0.0430613750000000;-53.7096;-3.44491
-0.0429363750000000;-53.7102;-3.43491
-0.0428113750000000;-53.7109;-3.42491
-0.0426863750000000;-53.7115;-3.41491
-0.0425613750000000;-53.7121;-3.40491
-0.0424363750000000;-53.7045;-3.39491
-0.0423113750000000;-53.5509;-3.38491
-0.0421863750000000;-53.3972;-3.37491
-0.0420613750000000;-53.2435;-3.36491
-0.0419363750000000;-53.2042;-3.35491
-0.0418113750000000;-53.2048;-3.34491
-0.0416863750000000;-53.2054;-3.33491
-0.0415613750000000;-53.2061;-3.32491
-0.0414363750000000;-53.2067;-3.31491
-0.0413113750000000;-53.2074;-3.30491
-0.0411863750000000;-53.1902;-3.29491
-0.0410613750000000;-53.0365;-3.28491
-0.0409363750000000;-52.8828;-3.27491
-0.0408113750000000;-52.7291;-3.26491
-0.0406863750000000;-52.6994;-3.25491
-0.0405613750000000;-52.7;-3.24491
-0.0404363750000000;-52.7006;-3.23491
-0.0403113750000000;-52.7013;-3.22491
-0.0401863750000000;-52.7019;-3.21491
-0.0400613750000000;-52.7026;-3.20491
-0.0399363750000000;-52.6758;-3.19491
-0.0398113750000000;-52.5221;-3.18491
-0.0396863750000000;-52.3684;-3.17491
-0.0395613750000000;-52.2148;-3.16491
-0.0394363750000000;-52.1946;-3.15491
-0.0393113750000000;-52.1952;-3.14491
-0.0391863750000000;-52.1959;-3.13491
-0.0390613750000000;-52.1965;-3.12491
-0.0389363750000000;-52.1971;-3.11491
-0.0388113750000000;-52.1978;-3.10491
-0.0386863750000000;-52.1984;-3.09491
-0.0385613750000000;-52.199;-3.08491
-0.0384363750000000;-52.1997;-3.07491
-0.0383113750000000;-52.2003;-3.06491
-0.0381863750000000;-52.201;-3.05491
-0.0380613750000000;-52.2016;-3.04491
-0.0379363750000000;-52.2022;-3.03491
-0.0378113750000000;-52.2029;-3.02491
-0.0376863750000000;-52.2035;-3.01491
-0.0375613750000000;-52.2042;-3.00491
-0.0374363750000000;-52.2048;-2.99491
-0.0373113750000000;-52.2054;-2.98491
-0.0371863750000000;-52.2061;-2.97491
-0.0370613750000000;-52.2067;-2.96491
-0.0369363750000000;-52.2074;-2.95491
-0.0368113750000000;-52.208;-2.94491
-0.0366863750000000;-52.2086;-2.93491
-0.0365613750000000;-52.2093;-2.92491
-0.0364363750000000;-52.2099;-2.91491
-0.0363113750000000;-52.2105;-2.90491
-0.0361863750000000;-52.2674;-2.89491
-0.0360613750000000;-52.4223;-2.88491
-0.0359363750000000;-52.5773;-2.87491
-0.0358113750000000;-52.7243;-2.86491
-0.0356863750000000;-52.7249;-2.85491
-0.0355613750000000;-52.7256;-2.84491
-0.0354363750000000;-52.7262;-2.83491
-0.0353113750000000;-52.7268;-2.82491
-0.0351863750000000;-52.7275;-2.81491
-0.0350613750000000;-52.7281;-2.80491
-0.0349363750000000;-52.7288;-2.79491
-0.0348113750000000;-52.7294;-2.78491
-0.0346863750000000;-52.73;-2.77491
-0.0345613750000000;-52.7307;-2.76491
-0.0344363750000000;-52.7313;-2.75491
-0.0343113750000000;-52.732;-2.74491
-0.0341863750000000;-52.7326;-2.73491
-0.0340613750000000;-52.7332;-2.72491
-0.0339363750000000;-52.7339;-2.71491
-0.0338113750000000;-52.7345;-2.70491
-0.0336863750000000;-52.7351;-2.69491
-0.0335613750000000;-52.7358;-2.68491
-0.0334363750000000;-52.7364;-2.67491
-0.0333113750000000;-52.71;-2.66491
-0.0331863750000000;-52.5563;-2.65491
-0.0330613750000000;-52.4026;-2.64491
-0.0329363750000000;-52.2489;-2.63491
-0.0328113750000000;-52.2284;-2.62491
-0.0326863750000000;-52.2291;-2.61491
-0.0325613750000000;-52.2297;-2.60491
-0.0324363750000000;-52.2304;-2.59491
-0.0323113750000000;-52.231;-2.58491
-0.0321863750000000;-52.2316;-2.57491
-0.0320613750000000;-52.2323;-2.56491
-0.0319363750000000;-52.2329;-2.55491
-0.0318113750000000;-52.2336;-2.54491
-0.0316863750000000;-52.2342;-2.53491
-0.0315613750000000;-52.2348;-2.52491
-0.0314363750000000;-52.2355;-2.51491
-0.0313113750000000;-52.2361;-2.50491
-0.0311863750000000;-52.2367;-2.49491
-0.0310613750000000;-52.2374;-2.48491
-0.0309363750000000;-52.238;-2.47491
-0.0308113750000000;-52.2387;-2.46491
-0.0306863750000000;-52.2393;-2.45491
-0.0305613750000000;-52.2399;-2.44491
-0.0304363750000000;-52.2406;-2.43491
-0.0303113750000000;-52.3936;-2.42491
-0.0301863750000000;-52.5485;-2.41491
-0.0300613750000000;-52.7035;-2.40491
-0.0299363750000000;-52.7543;-2.39491
-0.0298113750000000;-52.755;-2.38491
-0.0296863750000000;-52.7556;-2.37491
-0.0295613750000000;-52.7562;-2.36491
-0.0294363750000000;-52.7569;-2.35491
-0.0293113750000000;-52.7575;-2.34491
-0.0291863750000000;-52.7582;-2.33491
-0.0290613750000000;-52.7588;-2.32491
-0.0289363750000000;-52.7594;-2.31491
-0.0288113750000000;-52.7601;-2.30491
-0.0286863750000000;-52.647;-2.29491
-0.0285613750000000;-52.4933;-2.28491
-0.0284363750000000;-52.3397;-2.27491
-0.0283113750000000;-52.2514;-2.26491
-0.0281863750000000;-52.2521;-2.25491
-0.0280613750000000;-52.2527;-2.24491
-0.0279363750000000;-52.2706;-2.23491
-0.0278113750000000;-52.4255;-2.22491
-0.0276863750000000;-52.5805;-2.21491
-0.0275613750000000;-52.7354;-2.20491
-0.0274363750000000;-52.7671;-2.19491
-0.0273113750000000;-52.7677;-2.18491
-0.0271863750000000;-52.7684;-2.17491
-0.0270613750000000;-52.769;-2.16491
-0.0269363750000000;-52.7697;-2.15491
-0.0268113750000000;-52.7703;-2.14491
-0.0266863750000000;-52.7709;-2.13491
-0.0265613750000000;-52.7716;-2.12491
-0.0264363750000000;-52.7722;-2.11491
-0.0263113750000000;-52.7728;-2.10491
-0.0261863750000000;-52.7735;-2.09491
-0.0260613750000000;-52.7741;-2.08491
-0.0259363750000000;-52.7748;-2.07491
-0.0258113750000000;-52.7754;-2.06491
-0.0256863750000000;-52.776;-2.05491
-0.0255613750000000;-52.7767;-2.04491
-0.0254363750000000;-52.8137;-2.03491
-0.0253113750000000;-52.9686;-2.02491
-0.0251863750000000;-53.1236;-2.01491
-0.0250613750000000;-53.2786;-2.00491
-0.0249363750000000;-53.2911;-1.99491
-0.0248113750000000;-53.2917;-1.98491
-0.0246863750000000;-53.2923;-1.97491
-0.0245613750000000;-53.293;-1.96491
-0.0244363750000000;-53.2936;-1.95491
-0.0243113750000000;-53.2943;-1.94491
-0.0241863750000000;-53.2949;-1.93491
-0.0240613750000000;-53.2955;-1.92491
-0.0239363750000000;-53.2962;-1.91491
-0.0238113750000000;-53.2968;-1.90491
-0.0236863750000000;-53.2974;-1.89491
-0.0235613750000000;-53.2981;-1.88491
-0.0234363750000000;-53.2987;-1.87491
-0.0233113750000000;-53.2994;-1.86491
-0.0231863750000000;-53.3;-1.85491
-0.0230613750000000;-53.3006;-1.84491
-0.0229363750000000;-53.2457;-1.83491
-0.0228113750000000;-53.0921;-1.82491
-0.0226863750000000;-52.9384;-1.81491
-0.0225613750000000;-52.792;-1.80491
-0.0224363750000000;-52.7927;-1.79491
-0.0223113750000000;-52.7933;-1.78491
-0.0221863750000000;-52.7939;-1.77491
-0.0220613750000000;-52.7946;-1.76491
-0.0219363750000000;-52.7952;-1.75491
-0.0218113750000000;-52.7959;-1.74491
-0.0216863750000000;-52.7965;-1.73491
-0.0215613750000000;-52.7971;-1.72491
-0.0214363750000000;-52.7978;-1.71491
-0.0213113750000000;-52.7984;-1.70491
-0.0211863750000000;-52.799;-1.69491
-0.0210613750000000;-52.7997;-1.68491
-0.0209363750000000;-52.8003;-1.67491
-0.0208113750000000;-52.801;-1.66491
-0.0206863750000000;-52.8016;-1.65491
-0.0205613750000000;-52.8022;-1.64491
-0.0204363750000000;-52.8029;-1.63491
-0.0203113750000000;-52.8035;-1.62491
-0.0201863750000000;-52.8042;-1.61491
-0.0200613750000000;-52.8048;-1.60491
-0.0199363750000000;-52.8054;-1.59491
-0.0198113750000000;-52.8061;-1.58491
-0.0196863750000000;-52.8067;-1.57491
-0.0195613750000000;-52.8074;-1.56491
-0.0194363750000000;-52.808;-1.55491
-0.0193113750000000;-52.8086;-1.54491
-0.0191863750000000;-52.8093;-1.53491
-0.0190613750000000;-52.8099;-1.52491
-0.0189363750000000;-52.8105;-1.51491
-0.0188113750000000;-52.7751;-1.50491
-0.0186863750000000;-52.6215;-1.49491
-0.0185613750000000;-52.4678;-1.48491
-0.0184363750000000;-52.3141;-1.47491
-0.0183113750000000;-52.1604;-1.46491
-0.0181863750000000;-52.0068;-1.45491
-0.0180613750000000;-51.8531;-1.44491
-0.0179363750000000;-51.7933;-1.43491
-0.0178113750000000;-51.7939;-1.42491
-0.0176863750000000;-51.7946;-1.41491
-0.0175613750000000;-51.7496;-1.40491
-0.0174363750000000;-51.5959;-1.39491
-0.0173113750000000;-51.4422;-1.38491
-0.0171863750000000;-51.2886;-1.37491
-0.0170613750000000;-51.2866;-1.36491
-0.0169363750000000;-51.2872;-1.35491
-0.0168113750000000;-51.2879;-1.34491
-0.0166863750000000;-51.2885;-1.33491
-0.0165613750000000;-51.2891;-1.32491
-0.0164363750000000;-51.2898;-1.31491
-0.0163113750000000;-51.2904;-1.30491
-0.0161863750000000;-51.2911;-1.29491
-0.0160613750000000;-51.2917;-1.28491
-0.0159363750000000;-51.2923;-1.27491
-0.0158113750000000;-51.293;-1.26491
-0.0156863750000000;-51.2936;-1.25491
-0.0155613750000000;-51.2943;-1.24491
-0.0154363750000000;-51.2949;-1.23491
-0.0153113750000000;-51.2955;-1.22491
-0.0151863750000000;-51.2962;-1.21491
-0.0150613750000000;-51.2968;-1.20491
-0.0149363750000000;-51.2974;-1.19491
-0.0148113750000000;-51.2981;-1.18491
-0.0146863750000000;-51.2987;-1.17491
-0.0145613750000000;-51.2994;-1.16491
-0.0144363750000000;-51.3;-1.15491
-0.0143113750000000;-51.3006;-1.14491
-0.0141863750000000;-51.3013;-1.13491
-0.0140613750000000;-51.3019;-1.12491
-0.0139363750000000;-51.3026;-1.11491
-0.0138113750000000;-51.2288;-1.10491
-0.0136863750000000;-51.0751;-1.09491
-0.0135613750000000;-50.9215;-1.08491
-0.0134363750000000;-50.7939;-1.07491
-0.0133113750000000;-50.7946;-1.06491
-0.0131863750000000;-50.7952;-1.05491
-0.0130613750000000;-50.7959;-1.04491
-0.0129363750000000;-50.7965;-1.03491
-0.0128113750000000;-50.7971;-1.02491
-0.0126863750000000;-50.7978;-1.01491
-0.0125613750000000;-50.7984;-1.00491
-0.0124363750000000;-50.799;-0.99491
-0.0123113750000000;-50.7997;-0.98491
-0.0121863750000000;-50.7289;-0.97491
-0.0120613750000000;-50.4209;-0.96491
-0.0119363750000000;-50.1129;-0.95491
-0.0118113750000000;-49.8049;-0.94491
-0.0116863750000000;-49.3551;-0.93491
-0.0115613750000000;-48.8928;-0.92491
-0.0114363750000000;-48.4305;-0.91491
-0.0113113750000000;-48.0618;-0.90491
-0.0111863750000000;-47.7538;-0.89491
-0.0110613750000000;-47.4458;-0.88491
-0.0109363750000000;-47.1378;-0.87491
-0.0108113750000000;-46.8298;-0.86491
-0.0106863750000000;-46.5218;-0.85491
-0.0105613750000000;-46.2138;-0.84491
-0.0104363750000000;-46.2086;-0.83491
-0.0103113750000000;-46.2093;-0.82491
-0.0101863750000000;-46.2099;-0.81491
-0.0100613750000000;-46.0043;-0.80491
-0.00993637500000000;-45.6963;-0.79491
-0.00981137500000000;-45.3883;-0.78491
-0.00968637500000000;-45.0803;-0.77491
-0.00956137500000000;-44.7723;-0.76491
-0.00943637500000000;-44.4643;-0.75491
-0.00931137500000000;-44.143;-0.74491
-0.00918637500000000;-43.5264;-0.73491
-0.00906137500000000;-42.9098;-0.72491
-0.00893637500000000;-42.2932;-0.71491
-0.00881137500000000;-41.6766;-0.70491
-0.00868637500000000;-41.0599;-0.69491
-0.00856137500000000;-40.4433;-0.68491
-0.00843637500000000;-39.8912;-0.67491
-0.00831137500000000;-39.4289;-0.66491
-0.00818637500000000;-38.9666;-0.65491
-0.00806137500000000;-38.5206;-0.64491
-0.00793637500000000;-38.2126;-0.63491
-0.00781137500000000;-37.9046;-0.62491
-0.00768637500000000;-37.5966;-0.61491
