Test unit,C6
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-8.6,-128.1,-0.637
-8.58,-130.3,-0.636
-8.54,-132.4,-0.632
-8.46,-134.1,-0.626
-8.36,-135.5,-0.619
-8.25,-136.6,-0.611
-8.15,-137.5,-0.603
-8.05,-138.8,-0.596
-7.94,-139.5,-0.588
-7.82,-139.8,-0.58
-7.72,-140.7,-0.572
-7.61,-166.8,-0.563
-7.57,-169.3,-0.561
-7.54,-171.4,-0.558
-7.46,-173.1,-0.553
-7.36,-174,-0.545
-7.24,-174.5,-0.537
-7.14,-175.7,-0.529
-7.02,-175.4,-0.52
-6.91,-176.3,-0.512
-6.8,-176.3,-0.503
-6.68,-176.7,-0.495
-6.59,-194.5,-0.488
-6.55,-196.7,-0.485
-6.46,-198,-0.478
-6.34,-198.6,-0.47
-6.23,-199,-0.461
-6.12,-199.2,-0.453
-6.01,-198.8,-0.445
-5.91,-199.3,-0.438
-5.81,-198.8,-0.43
-5.71,-198.6,-0.423
-5.62,-198.5,-0.416
-5.53,-198.1,-0.41
-5.43,-197.6,-0.402
-5.31,-197.3,-0.393
-5.29,-207.9,-0.392
-5.24,-210.2,-0.388
-5.15,-211.2,-0.381
-5.06,-211.5,-0.375
-4.97,-211.4,-0.368
-4.94,-211.5,-0.366
-4.84,-210.8,-0.359
-4.75,-210.9,-0.352
-4.67,-210.4,-0.346
-4.59,-209.8,-0.34
-4.52,-209.8,-0.335
-4.48,-209.3,-0.332
-4.38,-208.6,-0.325
-4.32,-208.2,-0.32
-4.24,-207.8,-0.314
-4.2,-207.4,-0.311
-4.15,-206.8,-0.307
-4.07,-207.7,-0.302
-4.04,-209.8,-0.299
-3.97,-209.7,-0.294
-3.91,-209.5,-0.29
-3.85,-208.8,-0.285
-3.78,-208.3,-0.28
-3.77,-209.3,-0.279
-3.73,-211.7,-0.276
-3.64,-212.1,-0.27
-3.62,-211.8,-0.268
-3.53,-211.2,-0.262
-3.47,-210.9,-0.257
-3.44,-210.1,-0.255
-3.41,-213.1,-0.253
-3.36,-215.1,-0.249
-3.32,-215.2,-0.246
-3.31,-214.8,-0.245
-3.23,-214.3,-0.239
-3.2,-213.9,-0.237
-3.12,-213.1,-0.231
-3.07,-212.9,-0.228
-3.03,-212.2,-0.224
-3,-211.5,-0.222
-2.92,-210.8,-0.216
-2.89,-209.9,-0.214
-2.85,-207.2,-0.211
-2.84,-209.8,-0.21
-2.81,-209.6,-0.208
-2.75,-208.2,-0.204
-2.74,-210.8,-0.203
-2.67,-213,-0.198
-2.58,-213.4,-0.191
-2.55,-212.7,-0.189
-2.49,-212.2,-0.184
-2.44,-211.7,-0.181
-2.4,-211,-0.178
-2.38,-210.4,-0.176
-2.3,-209.2,-0.17
-2.27,-208.2,-0.168
-2.23,-203.9,-0.165
-2.2,-206.4,-0.163
-2.17,-205,-0.161
-2.16,-207.5,-0.16
-2.14,-207.5,-0.159
-2.1,-208.9,-0.155
-2.08,-208.7,-0.154
-2.05,-208.2,-0.152
-2.03,-207.7,-0.15
-1.98,-207,-0.147
-1.95,-206.3,-0.145
-1.89,-205.5,-0.14
-1.88,-204.9,-0.139
-1.85,-204,-0.137
-1.83,-199.7,-0.135
-1.81,-202.9,-0.134
-1.8,-204.6,-0.133
-1.74,-204,-0.129
-1.66,-203.5,-0.123
-1.64,-202.5,-0.122
-1.62,-201.5,-0.12
-1.57,-200.7,-0.116
-1.5,-191.6,-0.111
-1.49,-193.9,-0.11
-1.47,-195.5,-0.109
-1.44,-195.4,-0.106
-1.39,-194.7,-0.103
-1.35,-194.1,-0.1
-1.32,-180.5,-0.098
-1.3,-182.6,-0.096
-1.26,-182.8,-0.093
-1.22,-181.6,-0.09
-1.2,-180.7,-0.089
-1.17,-179.7,-0.087
-1.14,-178.8,-0.085
-1.12,-177.4,-0.083
-1.09,-167.5,-0.081
-1.07,-168.5,-0.08
-1.06,-173.8,-0.079
-1.03,-174.5,-0.076
-1,-173.4,-0.074
-0.96,-172.3,-0.071
-0.92,-171.2,-0.068
-0.91,-169.6,-0.067
-0.89,-151.9,-0.066
-0.87,-154.2,-0.065
-0.85,-156.5,-0.063
-0.84,-158.7,-0.062
-0.83,-159.8,-0.061
-0.81,-158.6,-0.06
-0.77,-157.3,-0.057
-0.74,-156,-0.055
