Test unit,S2
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-3.71,-260.4,-0.262
-3.68,-259.8,-0.259
-3.63,-259,-0.256
-3.58,-258.1,-0.252
-3.54,-257.3,-0.249
-3.51,-256.6,-0.247
-3.48,-255.8,-0.245
-3.44,-255,-0.243
-3.42,-243.2,-0.241
-3.4,-257.3,-0.24
-3.39,-261.8,-0.239
-3.37,-260.1,-0.238
-3.37,-263.6,-0.237
-3.36,-263.7,-0.236
-3.34,-263.4,-0.235
-3.32,-262.9,-0.234
-3.31,-263.2,-0.233
-3.29,-263.3,-0.232
-3.28,-263.2,-0.231
-3.26,-262.8,-0.23
-3.25,-262.5,-0.229
-3.23,-262.4,-0.228
-3.22,-262.3,-0.227
-3.2,-262.2,-0.225
-3.17,-262,-0.223
-3.15,-261.6,-0.222
-3.14,-261.1,-0.221
-3.12,-260.7,-0.22
-3.1,-260.7,-0.219
-3.08,-260.4,-0.217
-3.06,-260,-0.216
-3.04,-259.5,-0.214
-3.01,-259,-0.212
-2.99,-258.5,-0.21
-2.96,-258.1,-0.209
-2.93,-257.5,-0.207
-2.91,-257,-0.205
-2.88,-256.4,-0.203
-2.84,-255.8,-0.2
-2.8,-254.9,-0.198
-2.76,-254.1,-0.195
-2.73,-253.3,-0.192
-2.71,-252.6,-0.191
-2.69,-251.8,-0.189
-2.65,-250.9,-0.187
-2.62,-250.1,-0.185
-2.59,-249.2,-0.182
-2.55,-248.2,-0.18
-2.52,-247.1,-0.177
-2.48,-245.9,-0.175
-2.46,-230.3,-0.174
-2.45,-247.2,-0.173
-2.44,-247.7,-0.172
-2.42,-247.8,-0.171
-2.41,-247.5,-0.17
-2.39,-247.5,-0.169
-2.39,-247.2,-0.168
-2.37,-246.7,-0.167
-2.36,-246.6,-0.166
-2.34,-246.5,-0.165
-2.33,-246.2,-0.164
-2.31,-245.7,-0.163
-2.29,-245.4,-0.161
-2.28,-244.5,-0.16
-2.25,-243.7,-0.159
-2.24,-243.2,-0.158
-2.23,-243.1,-0.157
-2.21,-242.5,-0.156
-2.19,-241.9,-0.154
-2.18,-241.6,-0.153
-2.16,-240.9,-0.152
-2.14,-240,-0.15
-2.11,-239.1,-0.149
-2.09,-238.3,-0.147
-2.07,-237.7,-0.146
-2.05,-237.2,-0.144
-2.02,-233.1,-0.143
-2.02,-238.5,-0.142
-2,-237.5,-0.141
-1.98,-238.9,-0.14
-1.97,-238.3,-0.139
-1.96,-238.8,-0.138
-1.94,-238.4,-0.137
-1.92,-237.5,-0.136
-1.91,-237.3,-0.135
-1.91,-237.4,-0.134
-1.89,-237.2,-0.133
-1.87,-236.6,-0.131
-1.84,-235.4,-0.13
-1.83,-235.3,-0.129
-1.82,-235.1,-0.128
-1.81,-234.6,-0.127
-1.79,-234,-0.126
-1.78,-233.4,-0.125
-1.76,-233,-0.124
-1.75,-232.5,-0.123
-1.74,-231.7,-0.122
-1.72,-231,-0.121
-1.7,-230,-0.12
-1.68,-228.9,-0.118
-1.66,-228.2,-0.117
-1.64,-227.8,-0.116
-1.62,-227.1,-0.114
-1.58,-195.8,-0.112
-1.57,-217.7,-0.111
-1.56,-227.3,-0.11
-1.55,-227.5,-0.109
-1.53,-227.8,-0.108
-1.52,-227.5,-0.107
-1.51,-226.5,-0.106
-1.49,-226.3,-0.105
-1.48,-226,-0.104
-1.46,-225.6,-0.103
-1.44,-225.2,-0.101
-1.42,-224,-0.1
-1.41,-224.1,-0.099
-1.4,-223.8,-0.098
-1.38,-222.9,-0.097
-1.37,-222.2,-0.096
-1.34,-221.1,-0.095
-1.33,-220.7,-0.094
-1.32,-220.3,-0.093
-1.31,-219.7,-0.092
-1.3,-219.1,-0.091
-1.28,-218.5,-0.09
-1.26,-217.4,-0.089
-1.24,-216.3,-0.087
-1.22,-215.4,-0.086
-1.2,-214.9,-0.085
-1.19,-214.2,-0.084
-1.17,-213.3,-0.082
-1.15,-212.2,-0.081
-1.13,-192.1,-0.08
-1.12,-211,-0.079
-1.1,-211.7,-0.078
-1.09,-211.8,-0.077
-1.08,-211.9,-0.076
-1.06,-211.5,-0.075
-1.05,-210.9,-0.074
-1.03,-210.6,-0.073
-1.02,-210.5,-0.072
-1.01,-209.8,-0.071
-1,-209.2,-0.07
-0.99,-208.9,-0.069
-0.97,-207.8,-0.068
-0.95,-207.3,-0.067
-0.93,-206.2,-0.066
-0.92,-205.8,-0.065
-0.91,-205.1,-0.064
-0.89,-204.3,-0.063
-0.87,-202.9,-0.062
-0.86,-202.3,-0.061
-0.84,-201.3,-0.059
-0.83,-200.4,-0.058
-0.81,-199.6,-0.057
-0.79,-197.4,-0.056
-0.78,-196.9,-0.055
-0.76,-196,-0.054
-0.74,-194.6,-0.052
-0.72,-193.3,-0.051
-0.71,-144.8,-0.05
