Test unit,CS02
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-18.77,-29.7,-0.751
-18.74,-30,-0.749
-18.66,-30.1,-0.747
-18.58,-30.2,-0.743
-18.5,-30.2,-0.74
-18.43,-30.2,-0.737
-18.35,-30.3,-0.734
-18.27,-30.3,-0.731
-18.2,-30.4,-0.728
-18.12,-30.4,-0.725
-18.04,-30.4,-0.721
-17.96,-30.5,-0.718
-17.88,-30.5,-0.715
-17.81,-30.5,-0.712
-17.73,-30.5,-0.709
-17.65,-30.6,-0.706
-17.57,-30.6,-0.703
-17.5,-30.7,-0.7
-17.42,-30.8,-0.697
-17.34,-30.9,-0.694
-17.27,-31.1,-0.691
-17.19,-31.3,-0.688
-17.11,-31.5,-0.685
-17.04,-31.7,-0.681
-16.96,-31.8,-0.678
-16.92,-44.4,-0.677
-16.89,-44.6,-0.676
-16.84,-44.9,-0.673
-16.77,-44.8,-0.671
-16.7,-44.9,-0.668
-16.64,-44.9,-0.665
-16.57,-44.9,-0.663
-16.49,-44.9,-0.66
-16.42,-44.9,-0.657
-16.36,-44.9,-0.654
-16.29,-45,-0.652
-16.22,-44.9,-0.649
-16.15,-45,-0.646
-16.08,-45,-0.643
-16.01,-45,-0.641
-15.95,-45,-0.638
-15.88,-45.1,-0.635
-15.81,-45,-0.632
-15.74,-45.1,-0.63
-15.67,-45.1,-0.627
-15.6,-45.1,-0.624
-15.53,-45.1,-0.621
-15.46,-45.2,-0.618
-15.39,-45.1,-0.616
-15.32,-45.2,-0.613
-15.26,-45.2,-0.61
-15.19,-45.2,-0.608
-15.12,-45.2,-0.605
-15.05,-45.2,-0.602
-14.98,-45.2,-0.599
-14.91,-45.3,-0.596
-14.84,-45.3,-0.594
-14.77,-45.4,-0.591
-14.7,-45.4,-0.588
-14.63,-45.4,-0.585
-14.56,-45.4,-0.582
-14.51,-46.2,-0.581
-14.5,-46.7,-0.58
-14.46,-46.9,-0.579
-14.41,-46.9,-0.576
-14.35,-46.9,-0.574
-14.29,-46.9,-0.571
-14.23,-46.9,-0.569
-14.16,-46.9,-0.566
-14.1,-46.9,-0.564
-14.04,-46.9,-0.561
-13.98,-46.9,-0.559
-13.91,-46.9,-0.557
-13.85,-46.9,-0.554
-13.79,-46.9,-0.552
-13.73,-46.9,-0.549
-13.67,-46.9,-0.547
-13.61,-46.9,-0.544
-13.54,-46.9,-0.542
-13.48,-46.9,-0.539
-13.42,-46.9,-0.537
-13.36,-46.9,-0.534
-13.3,-46.9,-0.532
-13.23,-46.9,-0.529
-13.17,-46.9,-0.527
-13.11,-46.9,-0.524
-13.04,-46.9,-0.522
-12.98,-46.9,-0.519
-12.92,-46.9,-0.517
-12.86,-46.9,-0.514
-12.8,-46.9,-0.512
-12.74,-46.9,-0.51
-12.67,-46.9,-0.507
-12.61,-46.9,-0.504
-12.55,-46.9,-0.502
-12.48,-46.9,-0.499
-12.42,-46.9,-0.497
-12.36,-46.9,-0.494
-12.3,-46.9,-0.492
-12.24,-46.9,-0.489
-12.17,-46.9,-0.487
-12.11,-46.8,-0.484
-12.05,-46.8,-0.482
-11.99,-47.1,-0.48
-11.95,-47.4,-0.478
-11.9,-47.4,-0.476
-11.84,-47.4,-0.474
-11.79,-47.4,-0.472
-11.74,-47.4,-0.47
-11.69,-47.4,-0.468
-11.64,-47.4,-0.466
-11.59,-47.4,-0.463
-11.53,-47.4,-0.461
-11.48,-47.4,-0.459
-11.43,-47.4,-0.457
-11.38,-47.4,-0.455
-11.33,-47.4,-0.453
-11.28,-47.4,-0.451
-11.23,-47.4,-0.449
-11.18,-47.4,-0.447
-11.12,-47.4,-0.445
-11.07,-47.4,-0.443
-11.01,-47.4,-0.441
-10.96,-47.4,-0.438
-10.91,-47.3,-0.437
-10.86,-47.3,-0.435
-10.81,-47.3,-0.432
-10.76,-47.3,-0.431
-10.71,-47.3,-0.428
-10.66,-47.3,-0.426
-10.61,-47.3,-0.424
-10.56,-47.3,-0.422
-10.5,-47.3,-0.42
-10.45,-47.3,-0.418
-10.4,-47.3,-0.416
-10.35,-47.3,-0.414
-10.3,-47.3,-0.412
-10.25,-47.3,-0.41
-10.19,-47.3,-0.408
-10.14,-47.3,-0.406
-10.09,-47.2,-0.404
-10.04,-47.3,-0.402
-9.99,-47.2,-0.399
