Test unit;I1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0518672500000000;-54.8719;-4.14938
-0.0518547500000000;-54.8718;-4.14838
-0.0518422500000000;-54.8718;-4.14738
-0.0518297500000000;-54.8718;-4.14638
-0.0518172500000000;-54.8718;-4.14538
-0.0518047500000000;-54.8718;-4.14438
-0.0517922500000000;-54.8718;-4.14338
-0.0517797500000000;-54.8718;-4.14238
-0.0517672500000000;-54.8718;-4.14138
-0.0517547500000000;-54.8718;-4.14038
-0.0517422500000000;-54.8718;-4.13938
-0.0517297500000000;-54.8718;-4.13838
-0.0517172500000000;-54.8718;-4.13738
-0.0517047500000000;-54.8718;-4.13638
-0.0516922500000000;-54.8718;-4.13538
-0.0516797500000000;-54.8718;-4.13438
-0.0516672500000000;-54.8718;-4.13338
-0.0516547500000000;-54.8718;-4.13238
-0.0516422500000000;-54.8718;-4.13138
-0.0516297500000000;-54.8718;-4.13038
-0.0516172500000000;-54.8718;-4.12938
-0.0516047500000000;-54.8718;-4.12838
-0.0515922500000000;-54.8718;-4.12738
-0.0515797500000000;-54.8718;-4.12638
-0.0515672500000000;-54.8718;-4.12538
-0.0515547500000000;-54.8718;-4.12438
-0.0515422500000000;-54.8718;-4.12338
-0.0515297500000000;-54.8718;-4.12238
-0.0515172500000000;-54.8718;-4.12138
-0.0515047500000000;-54.8718;-4.12038
-0.0514922500000000;-54.8718;-4.11938
-0.0514797500000000;-54.8718;-4.11838
-0.0514672500000000;-54.8718;-4.11738
-0.0514547500000000;-54.8718;-4.11638
-0.0514422500000000;-54.8718;-4.11538
-0.0514297500000000;-54.8718;-4.11438
-0.0514172500000000;-54.8718;-4.11338
-0.0514047500000000;-54.8718;-4.11238
-0.0513922500000000;-54.8718;-4.11138
-0.0513797500000000;-54.8718;-4.11038
-0.0513672500000000;-54.8718;-4.10938
-0.0513547500000000;-54.8718;-4.10838
-0.0513422500000000;-54.8718;-4.10738
-0.0513297500000000;-54.8718;-4.10638
-0.0513172500000000;-54.8718;-4.10538
-0.0513047500000000;-54.8718;-4.10438
-0.0512922500000000;-54.8718;-4.10338
-0.0512797500000000;-54.8718;-4.10238
-0.0512672500000000;-54.8718;-4.10138
-0.0512547500000000;-54.8718;-4.10038
-0.0512422500000000;-54.8718;-4.09938
-0.0512297500000000;-54.8718;-4.09838
-0.0512172500000000;-54.8718;-4.09738
-0.0512047500000000;-54.8718;-4.09638
-0.0511922500000000;-54.8718;-4.09538
-0.0511797500000000;-54.8718;-4.09438
-0.0511672500000000;-54.8718;-4.09338
-0.0511547500000000;-54.8718;-4.09238
-0.0511422500000000;-54.8718;-4.09138
-0.0511297500000000;-54.8718;-4.09038
-0.0511172500000000;-54.8718;-4.08938
-0.0511047500000000;-54.8718;-4.08838
-0.0510922500000000;-54.8718;-4.08738
-0.0510797500000000;-54.8718;-4.08638
-0.0510672500000000;-54.8718;-4.08538
-0.0510547500000000;-54.8718;-4.08438
-0.0510422500000000;-54.8718;-4.08338
-0.0510297500000000;-54.8812;-4.08238
-0.0510172500000000;-54.8966;-4.08138
-0.0510047500000000;-54.9121;-4.08038
-0.0509922500000000;-54.9275;-4.07938
-0.0509797500000000;-54.943;-4.07838
-0.0509672500000000;-54.9584;-4.07738
-0.0509547500000000;-54.9739;-4.07638
-0.0509422500000000;-54.9893;-4.07538
-0.0509297500000000;-55.0048;-4.07438
-0.0509172500000000;-55.0202;-4.07338
-0.0509047500000000;-55.0357;-4.07238
-0.0508922500000000;-55.0511;-4.07138
-0.0508797500000000;-55.0666;-4.07038
-0.0508672500000000;-55.082;-4.06938
-0.0508547500000000;-55.0975;-4.06838
-0.0508422500000000;-55.1129;-4.06738
-0.0508297500000000;-55.1284;-4.06638
-0.0508172500000000;-55.1438;-4.06538
-0.0508047500000000;-55.1593;-4.06438
