Test unit;URM2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0214188750000000;-32.5079;-1.71351
-0.0214063750000000;-32.5697;-1.71251
-0.0213938750000000;-32.6314;-1.71151
-0.0213813750000000;-32.6931;-1.71051
-0.0213688750000000;-32.7548;-1.70951
-0.0213563750000000;-32.8166;-1.70851
-0.0213438750000000;-32.8783;-1.70751
-0.0213313750000000;-32.94;-1.70651
-0.0213188750000000;-32.9712;-1.70551
-0.0213063750000000;-32.9712;-1.70451
-0.0212938750000000;-32.9712;-1.70351
-0.0212813750000000;-32.9712;-1.70251
-0.0212688750000000;-32.9712;-1.70151
-0.0212563750000000;-32.9712;-1.70051
-0.0212438750000000;-32.9712;-1.69951
-0.0212313750000000;-32.9712;-1.69851
-0.0212188750000000;-32.9712;-1.69751
-0.0212063750000000;-32.9712;-1.69651
-0.0211938750000000;-32.9712;-1.69551
-0.0211813750000000;-32.9712;-1.69451
-0.0211688750000000;-32.9712;-1.69351
-0.0211563750000000;-32.9712;-1.69251
-0.0211438750000000;-32.9712;-1.69151
-0.0211313750000000;-32.9712;-1.69051
-0.0211188750000000;-32.9712;-1.68951
-0.0211063750000000;-32.9712;-1.68851
-0.0210938750000000;-32.9712;-1.68751
-0.0210813750000000;-32.9712;-1.68651
-0.0210688750000000;-32.9712;-1.68551
-0.0210563750000000;-32.9712;-1.68451
-0.0210438750000000;-32.9712;-1.68351
-0.0210313750000000;-32.9712;-1.68251
-0.0210188750000000;-32.9712;-1.68151
-0.0210063750000000;-32.9712;-1.68051
-0.0209938750000000;-32.9712;-1.67951
-0.0209813750000000;-32.9712;-1.67851
-0.0209688750000000;-32.9712;-1.67751
-0.0209563750000000;-32.9712;-1.67651
-0.0209438750000000;-32.9712;-1.67551
-0.0209313750000000;-32.9712;-1.67451
-0.0209188750000000;-32.9712;-1.67351
-0.0209063750000000;-32.9826;-1.67251
-0.0208938750000000;-33.0135;-1.67151
-0.0208813750000000;-33.0443;-1.67051
-0.0208688750000000;-33.0752;-1.66951
-0.0208563750000000;-33.106;-1.66851
-0.0208438750000000;-33.1369;-1.66751
-0.0208313750000000;-33.1678;-1.66651
-0.0208188750000000;-33.1986;-1.66551
-0.0208063750000000;-33.2295;-1.66451
-0.0207938750000000;-33.2604;-1.66351
-0.0207813750000000;-33.2912;-1.66251
-0.0207688750000000;-33.3221;-1.66151
-0.0207563750000000;-33.353;-1.66051
-0.0207438750000000;-33.3838;-1.65951
-0.0207313750000000;-33.4147;-1.65851
-0.0207188750000000;-33.4455;-1.65751
-0.0207063750000000;-33.4764;-1.65651
-0.0206938750000000;-33.5073;-1.65551
-0.0206813750000000;-33.5381;-1.65451
-0.0206688750000000;-33.569;-1.65351
-0.0206563750000000;-33.5999;-1.65251
-0.0206438750000000;-33.6307;-1.65151
-0.0206313750000000;-33.6616;-1.65051
-0.0206188750000000;-33.6924;-1.64951
-0.0206063750000000;-33.7233;-1.64851
-0.0205938750000000;-33.7542;-1.64751
-0.0205813750000000;-33.785;-1.64651
-0.0205688750000000;-33.8159;-1.64551
-0.0205563750000000;-33.8468;-1.64451
-0.0205438750000000;-33.8776;-1.64351
-0.0205313750000000;-33.9085;-1.64251
-0.0205188750000000;-33.9393;-1.64151
-0.0205063750000000;-33.9702;-1.64051
-0.0204938750000000;-33.9973;-1.63951
