Test unit;IC2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0551867500000000;-44.7284000000000;-4.41494000000000
-0.0551742500000000;-44.7284000000000;-4.41394000000000
-0.0551617500000000;-44.7284000000000;-4.41294000000000
-0.0551492500000000;-44.7284000000000;-4.41194000000000
-0.0551367500000000;-44.7284000000000;-4.41094000000000
-0.0551242500000000;-44.7284000000000;-4.40994000000000
-0.0551117500000000;-44.7284000000000;-4.40894000000000
-0.0550992500000000;-44.7284000000000;-4.40794000000000
-0.0550867500000000;-44.7284000000000;-4.40694000000000
-0.0550742500000000;-44.7284000000000;-4.40594000000000
-0.0550617500000000;-44.7284000000000;-4.40494000000000
-0.0550492500000000;-44.7284000000000;-4.40394000000000
-0.0550367500000000;-44.7284000000000;-4.40294000000000
-0.0550242500000000;-44.7284000000000;-4.40194000000000
-0.0550117500000000;-44.7284000000000;-4.40094000000000
-0.0549992500000000;-44.7284000000000;-4.39994000000000
-0.0549867500000000;-44.7284000000000;-4.39894000000000
-0.0549742500000000;-44.7284000000000;-4.39794000000000
-0.0549617500000000;-44.7284000000000;-4.39694000000000
-0.0549492500000000;-44.7284000000000;-4.39594000000000
-0.0549367500000000;-44.7284000000000;-4.39494000000000
-0.0549242500000000;-44.7284000000000;-4.39394000000000
-0.0549117500000000;-44.7284000000000;-4.39294000000000
-0.0548992500000000;-44.7284000000000;-4.39194000000000
-0.0548867500000000;-44.7284000000000;-4.39094000000000
-0.0548742500000000;-44.7284000000000;-4.38994000000000
-0.0548617500000000;-44.7284000000000;-4.38894000000000
-0.0548492500000000;-44.7284000000000;-4.38794000000000
-0.0548367500000000;-44.7284000000000;-4.38694000000000
-0.0548242500000000;-44.7284000000000;-4.38594000000000
-0.0548117500000000;-44.7284000000000;-4.38494000000000
-0.0547992500000000;-44.7284000000000;-4.38394000000000
-0.0547867500000000;-44.7284000000000;-4.38294000000000
-0.0547742500000000;-44.7284000000000;-4.38194000000000
-0.0547617500000000;-44.7284000000000;-4.38094000000000
-0.0547492500000000;-44.7284000000000;-4.37994000000000
-0.0547367500000000;-44.7284000000000;-4.37894000000000
-0.0547242500000000;-44.7284000000000;-4.37794000000000
-0.0547117500000000;-44.7284000000000;-4.37694000000000
-0.0546992500000000;-44.7284000000000;-4.37594000000000
-0.0546867500000000;-44.7284000000000;-4.37494000000000
-0.0546742500000000;-44.7284000000000;-4.37394000000000
-0.0546617500000000;-44.7284000000000;-4.37294000000000
-0.0546492500000000;-44.7284000000000;-4.37194000000000
-0.0546367500000000;-44.7284000000000;-4.37094000000000
-0.0546242500000000;-44.7284000000000;-4.36994000000000
-0.0546117500000000;-44.7284000000000;-4.36894000000000
-0.0545992500000000;-44.7284000000000;-4.36794000000000
-0.0545867500000000;-44.7284000000000;-4.36694000000000
-0.0545742500000000;-44.7284000000000;-4.36594000000000
-0.0545617500000000;-44.7284000000000;-4.36494000000000
-0.0545492500000000;-44.7284000000000;-4.36394000000000
-0.0545367500000000;-44.7284000000000;-4.36294000000000
-0.0545242500000000;-44.7284000000000;-4.36194000000000
-0.0545117500000000;-44.7284000000000;-4.36094000000000
-0.0544992500000000;-44.7284000000000;-4.35994000000000
-0.0544867500000000;-44.7284000000000;-4.35894000000000
-0.0544742500000000;-44.7284000000000;-4.35794000000000
-0.0544617500000000;-44.7284000000000;-4.35694000000000
-0.0544492500000000;-44.7284000000000;-4.35594000000000
-0.0544367500000000;-44.7284000000000;-4.35494000000000
-0.0544242500000000;-44.7284000000000;-4.35394000000000
-0.0544117500000000;-44.7284000000000;-4.35294000000000
-0.0543992500000000;-44.7284000000000;-4.35194000000000
-0.0543867500000000;-44.7284000000000;-4.35094000000000
-0.0543742500000000;-44.7284000000000;-4.34994000000000
-0.0543617500000000;-44.7284000000000;-4.34894000000000
-0.0543492500000000;-44.7284000000000;-4.34794000000000
-0.0543367500000000;-44.7284000000000;-4.34694000000000
-0.0543242500000000;-44.7284000000000;-4.34594000000000
-0.0543117500000000;-44.7284000000000;-4.34494000000000
-0.0542992500000000;-44.7284000000000;-4.34394000000000
-0.0542867500000000;-44.7284000000000;-4.34294000000000
-0.0542742500000000;-44.7284000000000;-4.34194000000000
-0.0542617500000000;-44.7284000000000;-4.34094000000000
-0.0542492500000000;-44.7284000000000;-4.33994000000000
-0.0542367500000000;-44.7284000000000;-4.33894000000000
-0.0542242500000000;-44.7284000000000;-4.33794000000000
-0.0542117500000000;-44.7284000000000;-4.33694000000000
-0.0541992500000000;-44.7284000000000;-4.33594000000000
-0.0541867500000000;-44.7284000000000;-4.33494000000000
-0.0541742500000000;-44.7284000000000;-4.33394000000000
-0.0541617500000000;-44.7284000000000;-4.33294000000000
-0.0541492500000000;-44.7284000000000;-4.33194000000000
-0.0541367500000000;-44.7284000000000;-4.33094000000000
-0.0541242500000000;-44.7284000000000;-4.32994000000000
-0.0541117500000000;-44.7284000000000;-4.32894000000000
-0.0540992500000000;-44.7284000000000;-4.32794000000000
-0.0540867500000000;-44.7284000000000;-4.32694000000000
-0.0540742500000000;-44.7284000000000;-4.32594000000000
-0.0540617500000000;-44.7284000000000;-4.32494000000000
-0.0540492500000000;-44.7284000000000;-4.32394000000000
-0.0540367500000000;-44.7284000000000;-4.32294000000000
-0.0540242500000000;-44.7284000000000;-4.32194000000000
-0.0540117500000000;-44.7284000000000;-4.32094000000000
-0.0539992500000000;-44.7284000000000;-4.31994000000000
-0.0539867500000000;-44.7284000000000;-4.31894000000000
-0.0539742500000000;-44.7284000000000;-4.31794000000000
