Test unit,SC1,
Reference,Godio et al. (2019),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
Displacement,Force,Drift
-22.193520,-11.510000,-2.465947
-22.112286,-22.210000,-2.456921
-22.112186,-24.530000,-2.456910
-18.722453,-16.210000,-2.080273
-16.572053,-17.020000,-1.841339
-14.606286,-22.830000,-1.622921
-13.703786,-26.100000,-1.522643
-11.646253,-26.580000,-1.294028
-10.123086,-34.570000,-1.124787
-9.867510,-41.730000,-1.096390
-9.836743,-45.040000,-1.092971
-8.487563,-57.350000,-0.943063
-8.071743,-60.790000,-0.896860
-7.834473,-66.730000,-0.870497
-7.129406,-66.390000,-0.792156
-6.047206,-73.050000,-0.671912
-5.470057,-74.400000,-0.607784
-5.301747,-74.890000,-0.589083
-4.884146,-76.600000,-0.542683
-4.310393,-74.980000,-0.478933
-4.136340,-71.540000,-0.459593
-3.867823,-74.160000,-0.429758
-3.689460,-74.980000,-0.409940
-3.345073,-74.500000,-0.371675
-3.332143,-74.430000,-0.370238
-2.831060,-74.380000,-0.314562
-2.498063,-73.260000,-0.277563
-2.240403,-73.970000,-0.248934
-2.032750,-69.610000,-0.225861
-2.002920,-72.420000,-0.222547
-2.000403,-69.600000,-0.222267
-1.799330,-71.960000,-0.199926
-1.644637,-66.790000,-0.182737
-1.640540,-69.930000,-0.182282
-1.595206,-71.510000,-0.177245
-1.351906,-69.940000,-0.150212
-1.119040,-67.920000,-0.124338
-1.061743,-67.470000,-0.117971
-1.055450,-62.170000,-0.117272
-0.882088,-68.200000,-0.098010
-0.647644,-60.450000,-0.071960
-0.630089,-61.280000,-0.070010
-0.568172,-59.330000,-0.063130
-0.511233,-57.160000,-0.056804
-0.458516,-54.850000,-0.050946
-0.401363,-51.920000,-0.044596
-0.347087,-49.040000,-0.038565
-0.302864,-45.810000,-0.033652
-0.259108,-42.180000,-0.028790
-0.209521,-38.010000,-0.023280
-0.163624,-33.790000,-0.018180
-0.120818,-29.830000,-0.013424
-0.077159,-25.750000,-0.008573
-0.034818,-21.350000,-0.003869
0.004424,-17.430000,0.000492
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
-0.047594,20.700000,-0.005288
0.112115,29.520000,0.012457
0.292495,38.180000,0.032499
0.488391,46.120000,0.054266
0.691990,53.660000,0.076888
0.881935,60.210000,0.097993
1.054486,65.600000,0.117165
1.227687,70.140000,0.136410
1.371350,71.670000,0.152372
1.542390,74.460000,0.171377
1.565894,73.410000,0.173988
1.848564,73.720000,0.205396
1.966314,72.910000,0.218479
2.028117,65.810000,0.225346
2.050394,68.040000,0.227822
2.372977,70.300000,0.263664
2.738634,72.050000,0.304293
2.845207,67.920000,0.316134
2.875270,69.590000,0.319474
3.150413,70.830000,0.350046
3.677303,72.750000,0.408589
3.804960,71.920000,0.422773
4.353254,73.900000,0.483695
4.717084,73.450000,0.524120
4.751237,71.760000,0.527915
5.230930,71.670000,0.581214
6.079993,73.910000,0.675555
7.001137,68.700000,0.777904
7.390337,66.700000,0.821149
8.889444,57.140000,0.987716
8.908763,49.820000,0.989863
10.684380,49.370000,1.187153
11.696713,46.380000,1.299635
11.712047,45.940000,1.301339
12.726547,50.780000,1.414061
12.869480,49.280000,1.429942
12.875347,48.910000,1.430594
13.386480,47.750000,1.487387
15.037714,47.950000,1.670857
16.598780,47.660000,1.844309
16.607547,46.780000,1.845283
16.938280,46.480000,1.882031
18.322080,47.290000,2.035787
19.722547,47.400000,2.191394
20.818413,46.630000,2.313157
22.169414,47.790000,2.463268
24.803980,47.540000,2.755998
26.582214,45.830000,2.953579
26.583613,45.740000,2.953735
26.586814,44.790000,2.954090
26.820014,45.100000,2.980002
26.825680,44.750000,2.980631
26.826280,43.870000,2.980698
30.418447,41.910000,3.379827
30.657880,29.070000,3.406431
33.285880,24.110000,3.698431
40.629213,22.540000,4.514357
40.679747,20.160000,4.519972
